Type,Group,Drug,DrugName,Protein_ID,Gene,fc,log_pvalue,log_adj.pvalue,rank,total_rank,drug_cv,con_cv,lasso_score,norm_fc_drug,norm_fc_prot,coverage,psm,upep,avg_abund,utoP,ratio_to_total_psm,ratio_to_total_upep,Class,H-Score
lumos,Group 1,Gossypol,Gossypol,Q9UI26,IPO11,0.600856686,6.444189712,4.188313202,4.430719888,0.991404021,0.032834861,0.08314892,0.520102297,5.713943197,12.23389495,0.14,22,11,3.240985819,0.5,0.839694656,0.761538462,Background,0.801470588
480,Group 1,Gossypol,Gossypol,Q9Y6Y8,SEC23IP,0.496888428,10.91706662,7.626364381,3.430719888,0.999192737,0.009101155,0.02670006,0.497040396,4.843434554,8.174030374,0.21,34,17,3.922211472,0.5,0.757800892,0.710306407,Background,0.941176471
480,Group 11,Benserazide (hydrochloride),Benserazide,P05165,PCCA,-0.233776874,5.872752681,3.1060627,3.326335861,0.988277589,0.025238648,0.014601794,0.0,3.359867544,5.466344176,0.23,23,16,3.791957178,0.695652174,1.580152672,1.41453831,Background,0.897058824
lumos,Group 11,Benserazide (hydrochloride),Benserazide,P21399,ACO1,-0.200342631,8.079992801,4.766864087,2.72427587,0.996309168,0.009269737,0.013730036,0.0,2.806194218,3.315572846,0.33,44,26,4.116508124,0.590909091,0.885113992,1.033568905,Background,0.875
lumos,Group 11,Benserazide (hydrochloride),Benserazide,P23368,ME2,-0.212061443,7.327647833,4.190610378,2.900367129,0.994612548,0.012747806,0.016350553,0.0,3.011519203,4.733115411,0.51,37,23,3.919028381,0.621621622,1.170063247,1.412005457,Background,0.926470588
480,Group 11,Benserazide (hydrochloride),Benserazide,P23378,GLDC,-0.19254152,7.029226135,4.109973662,3.201397124,0.993665041,0.019593134,0.016749093,0.0,2.646301175,7.523311877,0.33,70,32,4.107715222,0.457142857,1.23094959,1.107692308,Background,0.904411765
480,Group 11,Benserazide (hydrochloride),Benserazide,P24666,ACP1,-0.181656795,5.676800699,3.020789661,3.464638559,0.986940133,0.021694668,0.023137627,0.0,2.457944016,2.838010731,0.81,43,13,4.015466639,0.302325581,1.245975531,1.153846154,Background,0.889705882
lumos,Group 11,Benserazide (hydrochloride),Benserazide,P46734,MAP2K3,-0.169612953,5.239502185,2.659345904,3.423245874,0.983348498,0.017504161,0.021856846,0.0,2.267780375,2.258961181,0.22,13,4,3.775595886,0.307692308,2.407407407,1.230769231,Background,0.801470588
480,Group 11,Benserazide (hydrochloride),Benserazide,P51452,DUSP3,-0.270277252,6.558224192,3.705918509,3.268343914,0.991937636,0.026718796,0.016593528,0.0,3.991496469,5.510652984,0.45,20,7,3.736711152,0.35,1.201602136,0.957446809,Background,0.948529412
480,Group 11,Benserazide (hydrochloride),Benserazide,Q12974,PTP4A2,-0.165263998,5.803466423,3.1060627,3.423245874,0.987791863,0.012797272,0.014464245,0.0,2.1742712,2.844790754,0.37,8,3,3.346597441,0.375,0.863309353,0.84375,Background,0.808823529
480,Group 11,Benserazide (hydrochloride),Benserazide,Q13614,MTMR2,-0.421842138,8.51364192,5.224068239,2.72427587,0.997133534,0.02154621,0.024702136,0.0,6.614284818,7.703916704,0.17,15,10,3.449809972,0.666666667,2.417355372,2.052631579,Background,0.955882353
480,Group 11,Benserazide (hydrochloride),Benserazide,Q16822,PCK2,-0.336097862,7.124908663,4.109973662,3.025305865,0.994020784,0.026472664,0.028138838,0.0,5.130503884,9.491652127,0.66,105,42,4.553255394,0.4,1.407087552,1.398963731,Background,0.955882353
480,Group 11,Benserazide (hydrochloride),Benserazide,Q96KP4,CNDP2,-0.154970145,7.04868908,4.109973662,3.122215878,0.99371977,0.017637513,0.013324679,0.0,1.996138928,3.531279572,0.7,80,35,4.392881533,0.4375,1.108374384,1.290983607,Background,0.889705882
lumos,Group 11,Benserazide (hydrochloride),Benserazide,Q9BV57,ADI1,-0.180495083,4.480455889,2.096746101,3.653694795,0.971838164,0.022019826,0.025825528,0.0,2.458445872,3.553596823,0.77,31,13,3.968233041,0.419354839,1.312323612,1.488549618,Background,0.816176471
480,Group 11,Benserazide (hydrochloride),Benserazide,Q9HC38,GLOD4,0.354862699,8.444350708,5.224068239,2.900367129,0.996989868,0.011236691,0.021860654,0.052418274,5.455224188,4.051493959,0.69,59,24,4.268842306,0.406779661,1.22125115,1.339950372,Background,0.977941176
lumos,Group 11,Benserazide (hydrochloride),Benserazide,Q9NUW8,TDP1,1.07982077,11.14692241,7.532763696,2.423245874,0.999309038,0.039665867,0.053054444,1.01799426,18.21550652,5.114287616,0.05,4,3,2.599337133,0.75,2.545454545,2.52,Background,0.838235294
lumos,Group 11,Daptomycin,Daptomycin,P00568,AK1,0.425244426,7.942718508,4.805681053,2.903632516,0.996062884,0.047792664,0.018614864,0.341368299,6.825450807,13.64237909,0.68,24,12,4.018119803,0.5,1.331689273,1.569767442,Background,1.0
480,Group 11,Daptomycin,Daptomycin,P23786,CPT2,0.274632837,3.903434181,1.382121717,3.60260252,0.954334932,0.059591442,0.056902003,0.19729442,4.446785487,4.235806735,0.26,20,16,3.746330554,0.8,1.203208556,1.343283582,Background,0.875
lumos,Group 11,Daptomycin,Daptomycin,P30084,ECHS1,0.279203728,7.591480932,4.579382214,3.028571253,0.995269304,0.024973152,0.020768289,0.223476457,4.229487213,7.504170442,0.75,152,29,4.596829024,0.190789474,1.394495413,1.196150321,Background,0.977941176
480,Group 11,Daptomycin,Daptomycin,P35249,RFC4,0.152067945,4.143912193,1.592636506,3.572639297,0.963060894,0.022932518,0.021669664,0.064511118,2.095507199,3.595244308,0.5,22,16,3.837234799,0.727272727,1.28072445,1.30198915,Background,0.816176471
480,Group 11,Daptomycin,Daptomycin,Q00403,GTF2B,0.168412607,6.582637213,2.88523349,2.426511261,0.992012889,0.022247027,0.016187773,0.147553681,2.409062318,3.548595562,0.54,31,18,3.881846669,0.580645161,1.259025271,1.296,Background,0.941176471
480,Group 11,Daptomycin,Daptomycin,Q01581,HMGCS1,0.133844173,4.701205816,1.90689208,3.329601248,0.97605577,0.009900887,0.020648743,0.060423904,1.745903336,2.343564756,0.52,69,25,4.31047133,0.362318841,1.174801362,1.093294461,Background,0.838235294
lumos,Group 11,Daptomycin,Daptomycin,Q13492,PICALM,0.149408794,4.122213012,1.786807903,3.705264862,0.962328884,0.019686076,0.027903136,0.103427071,1.922302117,3.132136226,0.24,23,11,3.828015064,0.47826087,0.693235097,0.812807882,Background,0.816176471
480,Group 11,Daptomycin,Daptomycin,Q14746,COG2,0.151364136,4.820085746,1.967780063,3.271609301,0.978032879,0.013964719,0.024047788,0.115282382,2.082005357,2.42367575,0.33,27,19,3.758665924,0.703703704,1.034923339,1.130952381,Background,0.860294118
lumos,Group 11,Daptomycin,Daptomycin,Q15041,ARL6IP1,0.178844914,4.916184937,2.39556431,3.505692507,0.97951058,0.013404671,0.033298351,0.161542572,2.445547324,2.943532496,0.26,14,4,3.603171447,0.285714286,1.05,1.016949153,Background,0.845588235
lumos,Group 11,Daptomycin,Daptomycin,Q7Z4W1,DCXR,0.193079531,7.183613155,4.268424449,3.125481266,0.99417129,0.003142409,0.019856393,0.166476699,2.698576425,5.416123619,0.86,68,17,4.325325772,0.25,1.267605634,1.27076412,Background,0.904411765
lumos,Group 11,Daptomycin,Daptomycin,Q8N5M1,ATPAF2,0.438241264,7.018523505,4.249462836,3.271609301,0.993623993,0.04508602,0.032095892,0.330737544,7.056477639,8.174571899,0.36,10,6,3.214764397,0.6,1.088607595,1.146666667,Background,1.0
480,Group 11,Daptomycin,Daptomycin,Q96N66,MBOAT7,0.182945059,4.898113176,1.978860703,3.204662512,0.979271138,0.020471262,0.024303498,0.134423082,2.68785209,1.228762201,0.17,9,6,3.335487989,0.666666667,1.032786885,1.2,Background,0.808823529
lumos,Group 11,Daptomycin,Daptomycin,Q9P0R6,GSKIP,1.296512337,13.30613819,9.691979484,2.426511261,0.999757137,0.015793381,0.055538703,1.200837508,22.31277595,16.89603308,0.32,7,3,2.755379325,0.428571429,1.375545852,1.25,Background,0.963235294
lumos,Group 11,Daptomycin,Daptomycin,Q9UJC3,HOOK1,0.203100303,7.104098197,4.268090738,3.204662512,0.993955792,0.025556975,0.012535609,0.162327205,2.876701848,7.253937064,0.22,17,12,3.409172019,0.705882353,0.983290488,1.034482759,Background,0.882352941
480,Group 11,Daptomycin,Daptomycin,Q9Y3B7,MRPL11,0.166485786,5.651585419,2.556241687,3.028571253,0.986741738,0.016068823,0.01939396,0.112916682,2.372098276,1.955067837,0.66,20,13,3.654465334,0.65,1.461038961,1.469849246,Background,0.860294118
480,Group 13,Norvancomycin (hydrochloride),Norvancomycin,O60443,GSDME,0.41558506,7.319890936,4.581462746,3.608419051,0.994588604,0.016692896,0.042020506,0.36272339,4.88118877,9.560743512,0.21,9,9,3.107159073,1.0,1.4765625,1.843902439,Background,0.933823529
lumos,Group 13,Norvancomycin (hydrochloride),Norvancomycin,P09651,HNRNPA1,0.214682579,6.203917922,3.12558196,3.131297797,0.990182866,0.020608052,0.022409168,0.163375591,2.110638419,5.956080875,0.44,47,12,3.879299497,0.255319149,0.952273751,0.924657534,Background,0.948529412
480,Group 13,Norvancomycin (hydrochloride),Norvancomycin,P11047,LAMC1,0.555828217,13.2584928,9.565822097,2.654176542,0.999750296,0.011918884,0.017693155,0.542063529,6.752438169,17.4958079,0.18,30,23,3.503600042,0.766666667,1.310679612,1.396761134,Background,0.985294118
480,Group 13,Norvancomycin (hydrochloride),Norvancomycin,P29590,PML,0.431670809,9.959203909,6.868593201,3.256236533,0.998648861,0.012104323,0.024544467,0.353449404,5.095819194,17.46063605,0.3,37,23,3.721827097,0.621621622,1.175847458,1.251511487,Background,0.985294118
480,Group 13,Norvancomycin (hydrochloride),Norvancomycin,P35080,PFN2,0.506302296,7.355697403,4.581462746,3.557266529,0.994691222,0.02698007,0.056426068,0.46505807,6.091619122,13.34285353,0.54,27,10,3.858034641,0.37037037,0.98062954,1.145038168,Background,0.977941176
480,Group 13,Norvancomycin (hydrochloride),Norvancomycin,P43243,MATR3,0.344466819,5.700714218,3.212163501,3.858296525,0.98709748,0.034309283,0.037357313,0.21969983,3.932265712,9.319105502,0.15,12,9,3.135323508,0.75,1.294964029,1.336633663,Background,0.816176471
480,Group 13,Norvancomycin (hydrochloride),Norvancomycin,P53701,HCCS,0.614917544,8.083346526,5.168827078,3.432327792,0.99631943,0.033700615,0.038072617,0.595954214,7.540860724,6.463976539,0.14,5,4,3.058805487,0.8,0.867579909,1.134328358,Background,0.955882353
480,Group 13,Norvancomycin (hydrochloride),Norvancomycin,Q8NBK3,SUMF1,0.492700914,6.927743555,4.276465541,3.695569227,0.993285354,0.055389003,0.039141175,0.438573187,5.910137339,11.93483414,0.11,6,3,2.874394834,0.5,1.097560976,0.784883721,Background,0.904411765
480,Group 13,Norvancomycin (hydrochloride),Norvancomycin,Q969M3,YIPF5,2.003003096,11.95604578,8.56440508,2.955206538,0.999551901,0.067768105,0.08316703,1.937716217,26.06193729,26.66138071,0.08,5,2,2.892845616,0.4,1.022727273,1.022727273,Background,0.933823529
lumos,Group 13,Norvancomycin (hydrochloride),Norvancomycin,Q96CT7,CCDC124,0.391810953,5.886689092,2.933291866,3.256236533,0.988356263,0.014525612,0.054238018,0.342163488,4.541182543,7.414197442,0.3,12,7,2.545492673,0.583333333,0.709592641,0.826771654,Background,0.882352941
480,Group 13,Norvancomycin (hydrochloride),Norvancomycin,Q96MW5,COG8,0.428104826,7.677127671,4.829555012,3.499274582,0.995467699,0.046461669,0.021648759,0.333365314,5.048238665,18.08288186,0.39,28,18,3.607653359,0.642857143,0.972972973,1.046511628,Background,0.970588235
480,Group 13,Norvancomycin (hydrochloride),Norvancomycin,Q9H488,POFUT1,0.277117273,6.470942835,3.892215488,3.768119894,0.991557948,0.025028468,0.030624103,0.215546446,3.033627955,8.566221789,0.33,19,8,3.626109298,0.421052632,1.376811594,1.049562682,Background,0.830882353
480,Group 13,Norvancomycin (hydrochloride),Norvancomycin,Q9NR12,PDLIM7,0.366585774,7.044759749,4.35208905,3.654176542,0.993712929,0.030263641,0.031135351,0.281551139,4.227396563,8.52162635,0.3,16,12,3.137369938,0.75,1.371428571,1.504178273,Background,0.926470588
480,Group 13,Tannic acid,Tannic acid,O43390,HNRNPR,0.912387946,15.32751438,12.11196493,3.970021266,0.999935009,0.002918398,0.024255827,0.913905882,5.298596064,20.59451613,0.22,25,10,3.607926593,0.4,1.075525813,1.380368098,Background,0.852941176
480,Group 13,Tannic acid,Tannic acid,O60506,SYNCRIP,1.430746219,16.88391988,13.19124918,3.492900011,0.999986318,0.016772984,0.025505876,1.392344394,8.834118683,26.4183512,0.46,53,20,4.314945293,0.377358491,1.31043956,1.378254211,Background,0.977941176
480,Group 13,Tannic acid,Tannic acid,O60678,PRMT3,0.725789758,12.9640351,10.2713644,4.492900011,0.999695566,0.015784936,0.025110883,0.716078586,4.025881512,19.43918976,0.24,15,12,3.861767326,0.8,1.081730769,1.194690265,Background,0.801470588
480,Group 13,Tannic acid,Tannic acid,P09429,HMGB1,-1.248031058,11.58793146,9.07135202,4.66899127,0.99943218,0.048403349,0.030817366,0.0,7.58788877,24.54468595,0.44,50,13,4.304085342,0.26,0.721847931,1.081330869,Background,0.801470588
lumos,Group 13,Tannic acid,Tannic acid,P31943,HNRNPH1,1.020113387,10.04387794,7.611030694,4.606843363,0.998710432,0.044965386,0.022349907,0.91923859,5.908401842,22.20634773,0.33,32,9,3.570951358,0.28125,0.854092527,1.539923954,Background,0.808823529
lumos,Group 13,Tannic acid,Tannic acid,Q00839,HNRNPU,1.078357806,15.38123631,11.95034172,3.492900011,0.999938429,0.006612199,0.029148981,1.032708611,6.29518553,25.53413505,0.39,92,27,3.911711447,0.293478261,0.913302449,0.877890173,Background,0.992647059
480,Group 13,Tannic acid,Tannic acid,Q14344,GNA13,1.170566318,13.19831427,10.45988608,4.447142521,0.999740034,0.031727853,0.037322448,1.100938773,7.059531543,12.02704593,0.16,7,4,2.906792803,0.571428571,1.304347826,1.714285714,Background,0.816176471
480,Group 13,Tannic acid,Tannic acid,Q6NYC1,JMJD6,0.761946778,11.73322113,9.154493779,4.606843363,0.999469806,0.015744157,0.035660618,0.678009369,4.272494656,14.83945024,0.22,7,7,3.528473185,1.0,1.609195402,1.854304636,Background,0.845588235
480,Group 13,Tannic acid,Tannic acid,Q8N163,CCAR2,1.044166912,15.62766444,12.23602374,3.793930007,0.999955532,0.011903014,0.024750049,1.008034471,6.197409759,27.11560854,0.33,51,24,4.19194958,0.470588235,1.082036775,1.072492552,Background,0.904411765
480,Group 13,Tannic acid,Tannic acid,Q9BXP5,SRRT,0.772163666,11.73585176,9.154493779,4.572081257,0.999473227,0.013394913,0.035828661,0.718033609,4.342180119,15.91394091,0.16,16,12,3.714115913,0.75,1.463414634,1.487603306,Background,0.845588235
480,Group 15,Baicalein,Baicalein,O00204,SULT2B1,0.495017248,9.815026452,6.83076925,3.515873844,0.99852914,0.020422797,0.029125419,0.455144313,6.086610771,5.118123259,0.22,7,6,3.343703932,0.857142857,1.888157895,1.906976744,Background,0.948529412
480,Group 15,Baicalein,Baicalein,O43708,GSTZ1,0.765643368,12.54027428,9.10633021,2.816903839,0.999640837,0.026676977,0.02371283,0.718827087,9.830814263,9.621279542,0.32,19,9,3.570198403,0.473684211,1.663424125,1.569767442,Background,0.992647059
480,Group 15,Baicalein,Baicalein,P12931,SRC,-0.361182452,8.117382055,5.337244836,3.719993826,0.996401524,0.033368253,0.016455092,0.0,4.234961289,5.093192207,0.16,10,4,3.479517727,0.4,0.762711864,0.895522388,Background,0.898284314
480,Group 15,Baicalein,Baicalein,P14324,FDPS,0.349184827,6.946345586,4.409246416,3.963031875,0.993346925,0.021493993,0.037877354,0.263633385,4.068970115,2.803539336,0.3,26,12,4.03040135,0.461538462,0.906976744,1.151385928,Background,0.816176471
lumos,Group 15,Baicalein,Baicalein,P21399,ACO1,-0.23038529,7.499588046,4.657228473,3.515873844,0.995026441,0.019845628,0.017389961,0.0,2.322873144,3.912266741,0.31,38,19,3.396504467,0.5,0.764416629,0.755300353,Background,0.823529412
480,Group 15,Baicalein,Baicalein,P21964,COMT,0.735711203,12.48852742,9.10633021,3.117933835,0.999630575,0.017001374,0.01371922,0.710241043,9.416692691,15.59169908,0.76,42,19,3.997746691,0.452380952,1.090594345,1.136968085,Background,0.992647059
480,Group 15,Baicalein,Baicalein,P22830,FECH,0.384572541,8.620400586,5.78227142,3.662001879,0.997301143,0.009398153,0.023122089,0.344472875,4.558571048,3.045180956,0.5,32,17,3.809633774,0.53125,1.538461538,1.303236797,Background,0.963235294
lumos,Group 15,Baicalein,Baicalein,P23368,ME2,-0.292609675,8.119250904,5.055042581,3.294025094,0.996404945,0.012964937,0.013979645,0.0,3.193173651,6.846983002,0.38,47,18,3.420335384,0.382978723,1.486296557,1.105047749,Background,0.889705882
480,Group 15,Baicalein,Baicalein,Q13614,MTMR2,-0.635322371,10.00976633,6.928599117,3.418963831,0.998672806,0.011227404,0.027821434,0.0,8.027779383,11.99460769,0.12,8,6,2.954965731,0.75,1.289256198,1.231578947,Background,0.889705882
lumos,Group 15,Baicalein,Baicalein,Q13617,CUL2,0.303436452,6.295311823,3.599080286,3.662001879,0.990675433,0.026131221,0.036684861,0.249839769,3.344602218,5.921391471,0.33,39,18,3.383716651,0.461538462,1.057228916,0.924657534,Background,0.889705882
lumos,Group 15,Baicalein,Baicalein,Q16822,PCK2,-0.331203636,6.120501729,3.529905936,3.719993826,0.989751869,0.009265828,0.036613124,0.0,3.732967557,8.899964639,0.52,85,30,3.78875505,0.352941176,1.132662126,1.131601006,Background,0.860294118
480,Group 15,Baicalein,Baicalein,Q8NBT2,SPC24,0.208363384,10.66051195,7.454405995,3.294025094,0.999066175,0.00785275,0.005743653,0.19179239,2.120658022,4.031728781,0.4,16,9,3.662436713,0.5625,1.395348837,1.269592476,Background,0.816176471
lumos,Group 15,Baicalein,Baicalein,Q99798,ACO2,-0.199084964,6.116993004,3.529905936,3.771146349,0.989727925,0.01080652,0.02059979,0.0,1.885091575,5.532069159,0.56,104,37,3.902128046,0.355769231,1.002785515,1.097560976,Background,0.823529412
480,Group 15,Baicalein,Baicalein,Q9HB07,MYG1,0.28370447,7.790959075,5.061974378,3.771146349,0.99575503,0.025237474,0.019025911,0.233870349,3.163027315,8.41790373,0.46,37,17,3.955670917,0.459459459,1.198704104,1.266556291,Background,0.823529412
lumos,Group 15,Baicalein,Baicalein,Q9HC38,GLOD4,0.556388246,9.4890743,5.947744722,2.816903839,0.998262333,0.042923331,0.025263495,0.506628329,6.88250902,6.360347506,0.61,71,23,3.701066919,0.323943662,1.192164179,1.288916563,Background,0.992647059
480,Group 16,Caffeic acid,Caffeic acid,O43708,GSTZ1,1.260917005,13.88597424,10.21415368,2.671172843,0.999842652,0.011279417,0.018311071,1.186090098,13.56105217,16.20419792,0.32,18,10,3.538133687,0.555555556,1.575875486,1.744186047,Background,1.0
480,Group 16,Caffeic acid,Caffeic acid,O60547,GMDS,0.288343059,9.947196378,7.120473858,3.516270883,0.998635179,0.012324907,0.015791192,0.261309047,2.639357143,9.72039969,0.6,55,24,4.031295331,0.436363636,1.057240496,1.095334686,Background,0.882352941
480,Group 16,Caffeic acid,Caffeic acid,O75643,SNRNP200,0.903230093,10.72964022,7.659879656,3.273232834,0.999083278,0.047898046,0.034060476,0.837008935,9.544342293,19.89298418,0.08,16,13,3.642004261,0.8125,1.955555556,1.881578947,Background,0.977941176
480,Group 16,Caffeic acid,Caffeic acid,P21399,ACO1,-0.284857295,9.07203564,6.441607765,3.712565528,0.997865543,0.000794094,0.016360474,0.0,2.600213121,6.663514447,0.5,73,37,4.217577373,0.506849315,1.198905109,1.127285037,Background,0.801470588
480,Group 16,Caffeic acid,Caffeic acid,P23368,ME2,-0.262910049,8.625531949,6.032892635,3.750354089,0.997311405,0.013731318,0.015233596,0.0,2.353752549,6.802042345,0.43,35,20,3.858946036,0.571428571,0.984990619,1.056338028,Background,0.830882353
lumos,Group 16,Caffeic acid,Caffeic acid,P49914,MTHFS,0.56722295,10.3570824,7.127784607,2.972202838,0.998895145,0.01197072,0.033545698,0.504473132,7.766554889,8.013761458,0.21,3,3,2.591231611,1.0,1.038461538,1.37755102,Background,0.882352941
lumos,Group 16,Caffeic acid,Caffeic acid,Q08257,CRYZ,0.186366016,6.522376643,3.819948368,3.449324093,0.991817914,0.023257963,0.009582505,0.157316164,1.967371206,5.181200335,0.78,60,19,3.504062883,0.316666667,0.978970268,1.05036855,Background,0.823529412
480,Group 16,Caffeic acid,Caffeic acid,Q14344,GNA13,1.496654584,12.48853477,9.117744209,2.972202838,0.999633995,0.040462529,0.061995477,1.364467163,16.20830995,15.57817461,0.13,5,3,2.738582386,0.6,0.931677019,1.285714286,Background,0.941176471
lumos,Group 16,Caffeic acid,Caffeic acid,Q16822,PCK2,0.176864912,6.304782811,3.745728666,3.625415352,0.990743845,0.011519531,0.019112873,0.134704622,1.822701005,4.357485382,0.49,79,27,3.719418303,0.341772152,1.052709505,1.018440905,Background,0.867647059
lumos,Group 16,Caffeic acid,Caffeic acid,Q1KMD3,HNRNPUL2,0.620341583,6.459601711,3.819948368,3.516270883,0.991482695,0.060306833,0.072903078,0.542480046,8.575374908,9.759696568,0.12,7,5,2.679200696,0.714285714,0.945945946,0.982532751,Background,0.941176471
480,Group 16,Caffeic acid,Caffeic acid,Q8IZP0,ABI1,2.053990774,11.52846911,8.333769804,3.148294097,0.999425338,0.079844334,0.04193267,1.834720507,22.46701749,28.81966503,0.2,11,8,3.313477023,0.727272727,0.976331361,1.333333333,Background,0.955882353
lumos,Group 16,Caffeic acid,Caffeic acid,Q8N543,OGFOD1,0.164517022,6.149401155,3.66046605,3.712565528,0.989909217,0.019623343,0.019581532,0.143452775,1.634683736,4.519971133,0.47,50,23,3.483922337,0.46,1.308139535,1.38368984,Background,0.801470588
lumos,Group 16,Caffeic acid,Caffeic acid,Q96KP4,CNDP2,-0.220462145,7.989507879,5.012716663,3.148294097,0.996144979,0.006650323,0.016175872,0.0,2.48654178,5.063821352,0.59,112,22,3.754222158,0.196428571,1.20315111,0.901639344,Background,0.919117647
480,Group 16,Caffeic acid,Caffeic acid,Q9BTV6,DPH7,1.371551314,10.22721805,7.333548742,3.449324093,0.998819891,0.079493392,0.043989154,1.237934275,14.80344015,28.19255623,0.21,14,7,3.12363934,0.5,1.30977131,1.029411765,Background,0.970588235
480,Group 16,Caffeic acid,Caffeic acid,Q9HB07,MYG1,0.328673243,10.51736881,7.544518251,3.370142847,0.99898066,0.02394212,0.009221561,0.312928373,3.092252236,9.871589005,0.39,38,13,3.935020805,0.342105263,1.231101512,0.968543046,Background,0.875
480,Group 16,Caffeic acid,Caffeic acid,Q9NNW7,TXNRD2,0.316001919,9.339405401,6.62182735,3.625415352,0.998142612,0.009621316,0.020185382,0.276416966,2.949957311,6.978405857,0.43,43,17,3.866715514,0.395348837,1.109518349,1.145209581,Background,0.904411765
480,Group 17,Mitoxantrone,Mitoxantrone,O15235,MRPS12,-0.427935679,8.385752352,6.018485198,4.198437135,0.996839362,0.012893693,0.026731399,0.0,4.649619917,7.548692022,0.46,8,6,3.655599388,0.75,1.717277487,1.744680851,Background,0.808823529
480,Group 17,Mitoxantrone,Mitoxantrone,P15880,RPS2,-0.715144187,10.60499436,7.517567906,3.478277832,0.999028548,0.015426614,0.026880758,0.0,8.230105965,16.59421571,0.54,44,18,4.327559175,0.409090909,0.767739434,0.992647059,Background,0.963235294
480,Group 17,Mitoxantrone,Mitoxantrone,P23396,RPS3,-0.634870534,9.954586033,7.168189572,3.779307828,0.99864202,0.016117023,0.027879342,0.0,7.229374136,16.54003714,0.78,54,20,4.343929238,0.37037037,0.697674419,0.832562442,Background,0.882352941
lumos,Group 17,Mitoxantrone,Mitoxantrone,P39019,RPS19,-0.824761564,9.421227874,6.399276874,3.177247836,0.998211024,0.031498662,0.035243141,0.0,6.70042223,17.053662,0.54,31,10,3.51031708,0.322580645,1.032568468,0.982532751,Background,0.985294118
lumos,Group 17,Mitoxantrone,Mitoxantrone,P39023,RPL3,-0.635821611,7.012552583,4.838347356,4.177247836,0.993589787,0.020369755,0.050648935,0.0,4.991711318,9.328276865,0.24,29,8,3.260929584,0.275862069,0.631104034,0.480234261,Background,0.801470588
lumos,Group 17,Mitoxantrone,Mitoxantrone,P42677,RPS27,-0.904439749,9.397390842,6.399276874,3.353339095,0.998197342,0.032041077,0.0223304,0.0,7.42100558,17.37214999,0.38,10,3,2.588439788,0.3,0.759259259,1.078947368,Background,0.87622549
480,Group 17,Mitoxantrone,Mitoxantrone,P46781,RPS9,-0.777321136,10.8595508,7.647185611,3.353339095,0.999158531,0.016446967,0.027181211,0.0,9.005235155,14.71582511,0.49,24,14,3.947664043,0.583333333,0.635294118,0.889830508,Background,0.977941176
