Type,Group,Drug,Protein_ID,Gene,fc,log_pvalue,log_adj.pvalue,rank,total_rank,drug_cv,con_cv,lasso_score,norm_fc_drug,norm_fc_prot,coverage,psm,upep,avg_abund,utoP,ratio_to_total_psm,ratio_to_total_upep,Class,H-Score,DrugName
480,Group 22,Lubiprostone,P42330,AKR1C3,0.212694765,3.51136665,1.093642188,3.784189205,0.932617515,0.030950975,0.03759247,0.10370095,2.844692276,1.839768136,0.59,45,7,3.806905454,0.155555556,1.219145093,1.166666667,Background,0.808823529,Lubiprostone
480,Group 1,Lumacaftor,P42330,AKR1C3,0.554302836,5.839467714,2.247735475,2.322219295,0.988031305,0.036548041,0.075649153,0.398617926,9.805734916,5.600470029,0.45,36,3,3.358534445,0.083333333,0.975316075,0.5,Background,0.941176471,Lumacaftor
480,Group 25,Meclofenamic acid (sodium),P42330,AKR1C3,0.645951564,6.685717893,3.315297334,2.684845362,0.992426782,0.020976802,0.081814153,0.489947377,8.069773013,6.609414414,0.58,49,6,3.944934005,0.12244898,1.327513546,1,Target,0.992647059,Meclofenamic acid
lumos,Group 30,Megestrol acetate,P42330,AKR1C3,0.655119542,8.601297824,4.97815195,2.184691431,0.997256675,0.031654189,0.027847888,0.548113942,13.01814183,8.65697817,0.4,30,3,2.699230503,0.1,0.597285068,0.53877551,Background,0.875,Megestrol acetate
480,Group 46,Naproxen,P42330,AKR1C3,0.284898443,5.435908672,1.760221964,2.436162647,0.985082744,0.068716733,0.02918305,0.264504256,5.489874087,2.634645463,0.46,18,4,3.417579631,0.222222222,0.487658037,0.666666667,Target,0.911764706,Naproxen
480,Group 24,Nomegestrol acetate,P42330,AKR1C3,0.155856216,5.320366654,1.677704323,2.401400541,0.984049722,0.026955186,0.019128643,0.120790879,2.140791921,1.214042764,0.6,45,6,4.007749911,0.133333333,1.219145093,1,Background,0.860294118,Nomegestrol acetate
lumos,Group 38,Salsalate,P42330,AKR1C3,0.172964547,4.438792689,1.536789797,2.924279286,0.970904339,0.031913707,0.011862254,0.103502084,2.866426226,1.741364751,0.39,32,6,3.965735419,0.1875,0.637104072,1.07755102,Background,0.808823529,Salsalate
480,Group 15,Seratrodast,P42330,AKR1C3,0.425872755,8.729547485,5.046320279,2.522444234,0.997502959,0.029017956,0.027768743,0.370712453,6.97538412,4.186606341,0.72,60,10,3.888724127,0.166666667,1.625526791,1.666666667,Background,1,Seratrodast
lumos,Group 40,Acetohydroxamic acid,P30837,ALDH1B1,0.665734181,11.80739917,8.2289892,2.1430148,0.99949033,0.012510737,0.030099565,0.603086189,15.33266962,8.400110765,0.5,63,19,3.874307833,0.301587302,1.072239032,1.036363636,Background,1,Acetohydroxamic acid
480,Group 14,Amodiaquine (dihydrochloride dihydrate),P30837,ALDH1B1,0.202964211,6.638574614,3.25270034,2.599883072,0.992255752,0.013103368,0.016601664,0.176003598,2.892312296,2.168949109,0.66,72,24,4.257019435,0.333333333,1.234285714,1.177753544,Background,0.926470588,Amodiaquine
480,Group 21,Atracurium (besylate),P30837,ALDH1B1,0.231489906,5.41190037,2.066428616,2.808885867,0.984891191,0.056108208,0.018638479,0.204315301,3.734123269,2.551576075,0.41,43,17,3.883269542,0.395348837,0.737142857,0.834242094,Background,0.889705882,Atracurium
lumos,Group 39,Carmofur,P30837,ALDH1B1,0.628281423,7.843002302,4.698739528,2.681241237,0.995854228,0.078816709,0.02049798,0.569340578,11.83634284,7.89474013,0.53,53,20,3.792682289,0.377358491,0.90204236,1.090909091,Background,1,Carmofur
lumos,Group 3,Carmustine,P30837,ALDH1B1,0.428327056,7.150523754,3.587992985,2.474216264,0.994085775,0.01811582,0.048051769,0.388076713,7.990754778,5.196646026,0.65,60,23,3.979204536,0.383333333,1.02118003,1.254545455,Background,0.992647059,Carmustine
lumos,Group 16,Lofexidine (hydrochloride),P30837,ALDH1B1,0.333953961,7.91508368,4.38475589,2.431363764,0.995994472,0.020360525,0.024882989,0.272666644,5.191196478,3.923218013,0.47,68,17,3.637984783,0.25,1.157337368,0.927272727,Background,0.985294118,Lofexidine
lumos,Group 10,Olsalazine (Disodium),P30837,ALDH1B1,0.20450539,5.230263219,2.369685668,3.1775365,0.983256142,0.014377166,0.027931146,0.138840837,2.331204315,2.176497346,0.37,41,14,3.654898161,0.341463415,0.697806354,0.763636364,Background,0.867647059,Olsalazine
480,Group 1,Rucaparib,P30837,ALDH1B1,0.175983767,4.362636872,1.372964624,2.992995098,0.969118784,0.016521915,0.034043252,0.130416846,2.50249419,1.807049239,0.36,45,12,3.951565779,0.266666667,0.771428571,0.588876772,Background,0.830882353,Rucaparib
480,Group 29,Sitagliptin (phosphate monohydrate),P30837,ALDH1B1,0.864122492,8.407024022,4.810866941,2.605305046,0.996870147,0.035716354,0.084381834,0.748537657,11.6483446,11.03733913,0.41,58,16,4.196880547,0.275862069,0.994285714,0.785169029,Background,0.977941176,Sitagliptin
lumos,Group 34,Vorinostat,P30837,ALDH1B1,1.225486757,12.39694231,9.269700239,2.922725458,0.999616892,0.043926908,0.037565107,1.130225201,19.61686535,15.95315972,0.54,78,24,4.370745256,0.307692308,1.327534039,1.309090909,Background,0.992647059,Vorinostat
480,Group 8,Vortioxetine,P30837,ALDH1B1,0.777129552,7.417073672,3.766377692,2.612783857,0.994838308,0.008724615,0.085614762,0.524409979,10.0160081,9.870466765,0.62,77,22,4.264141071,0.285714286,1.32,1.079607415,Background,0.985294118,Vortioxetine
lumos,Group 40,Acetohydroxamic acid,P51648,ALDH3A2,0.349546746,10.52151426,7.244134288,2.444044796,0.998987501,0.01406712,0.016126905,0.315878157,7.657602632,4.181904667,0.23,21,9,3.482401889,0.428571429,2.425742574,1.711956522,Background,0.985294118,Acetohydroxamic acid
lumos,Group 7,Apalutamide,P51648,ALDH3A2,0.384901493,9.309074582,5.673993146,2.728353782,0.998115247,0.004123156,0.027277278,0.342194591,5.044848892,4.680355767,0.24,19,9,3.435613466,0.473684211,2.194719472,1.711956522,Background,0.970588235,Apalutamide
480,Group 21,Atracurium (besylate),P51648,ALDH3A2,0.173054843,4.49817944,1.550647695,3.206825876,0.972217851,0.023703129,0.029513742,0.103502702,2.571271975,2.227482584,0.17,11,7,3.229976049,0.636363636,1.142512077,1.048780488,Background,0.832107843,Atracurium
lumos,Group 39,Carmofur,P51648,ALDH3A2,0.564358415,11.27469875,7.653314718,2.204119983,0.999363768,0.008460885,0.028270763,0.478518264,10.55533379,7.210440316,0.22,15,9,3.257894469,0.6,1.732673267,1.711956522,Background,0.992647059,Carmofur
480,Group 18,EC5026,P51648,ALDH3A2,0.268652262,6.96947992,3.609075865,2.645422269,0.993449543,0.020369858,0.013425741,0.237932463,4.247281393,3.85065763,0.12,7,5,3.416665466,0.714285714,0.72705314,0.74912892,Background,0.911764706,EC5026
480,Group 24,Esaxerenone,P51648,ALDH3A2,0.65898548,9.911328854,6.268666522,2.511883361,0.998621496,0.017692451,0.044004227,0.620083448,10.68369269,10.47823337,0.22,12,8,3.75869242,0.666666667,1.246376812,1.198606272,Background,0.985294118,Esaxerenone
480,Group 2,Pioglitazone,P51648,ALDH3A2,0.19053997,5.209259612,2.46409804,3.223755454,0.983071429,0.025125657,0.025935683,0.123360495,3.567893654,2.524367397,0.2,10,9,3.839547177,0.9,1.038647343,1.348432056,Background,0.882352941,Pioglitazone
480,Group 16,Pregnenolone monosulfate,P51648,ALDH3A2,0.352990029,5.072829484,2.003068915,3.036628895,0.981443221,0.036595704,0.063040398,0.251024877,5.233463759,5.282651921,0.17,10,7,3.428531636,0.7,1.038647343,1.048780488,Background,0.933823529,Pregnenolone
480,Group 36,Rosiglitazone,P51648,ALDH3A2,0.198075935,6.468240035,3.378688152,3.155943018,0.991544266,0.027538269,0.017666326,0.178708758,2.679456474,2.652322636,0.25,17,10,4.030711013,0.588235294,1.765700483,1.49825784,Background,0.933823529,Rosiglitazone
lumos,Group 34,Vorinostat,P51648,ALDH3A2,0.902374108,11.40137796,8.457092743,3.144574208,0.999391132,0.039437042,0.035035781,0.843129581,14.27520388,11.97597553,0.31,25,11,3.764295715,0.44,2.887788779,2.092391304,Background,0.985294118,Vorinostat
lumos,Group 13,4-Methylumbelliferone,P51649,ALDH5A1,0.725240646,11.96878363,8.413326408,2.380211242,0.999565583,0.014980112,0.032416131,0.677342397,11.16946045,10.80833502,0.44,39,18,3.290980121,0.461538462,1.047761194,1.155492154,Background,0.985294118,4-Methylumbelliferone
480,Group 40,Acetohydroxamic acid,P51649,ALDH5A1,0.24304879,6.555438956,3.731313122,2.98811284,0.991917112,0.009540518,0.030678767,0.233772313,5.583506692,3.44712017,0.27,25,14,3.891648944,0.56,0.707102451,0.834437086,Background,0.933823529,Acetohydroxamic acid
lumos,Group 5,Asenapine (maleate),P51649,ALDH5A1,0.279722926,4.01890041,1.316339139,3.304490528,0.959092993,0.066678416,0.028137307,0.070315129,3.81207799,3.724178347,0.44,47,18,4.094593399,0.382978723,1.262686567,1.155492154,Background,0.867647059,Asenapine
480,Group 42,Azatadine (dimaleate),P51649,ALDH5A1,0.165188464,4.402072043,1.190951502,2.549003262,0.970079974,0.012337704,0.028954602,0.096189155,3.271469513,2.124608363,0.34,30,16,3.990212278,0.533333333,0.848522942,0.953642384,Background,0.845588235,Azatadine
lumos,Group 39,Carmofur,P51649,ALDH5A1,0.283744212,3.528860086,0.752574098,3.049218023,0.933924186,0.074701482,0.061329005,0.264205387,4.931860399,3.788120624,0.37,29,15,3.634663644,0.517241379,0.779104478,0.962910128,Background,0.845588235,Carmofur
480,Group 46,Catechin,P51649,ALDH5A1,0.362865636,9.062600612,6.085883908,3.302114377,0.99784844,0.020696452,0.021685465,0.311072579,5.938565475,5.482292673,0.34,26,15,3.940879905,0.576923077,0.735386549,0.894039735,Background,0.992647059,Catechin
480,Group 31,Ferulic acid,P51649,ALDH5A1,0.28769215,7.610882724,3.950776502,2.330413773,0.99530009,0.006331686,0.027188387,0.250377189,5.536047202,4.205418709,0.35,32,16,4.067175044,0.5,0.905091138,0.953642384,Background,0.985294118,Ferulic acid
480,Group 41,Hydroxyzine (pamoate),P51649,ALDH5A1,0.30943672,7.093646568,4.42510283,3.429913698,0.993890801,0.019188808,0.030683889,0.281436191,3.642146968,4.57476536,0.37,42,18,4.072235188,0.428571429,1.187932118,1.072847682,Background,0.911764706,Hydroxyzine
480,Group 17,Lodoxamide,P51649,ALDH5A1,0.219758876,3.559353437,0.766019426,3.102433706,0.93587051,0.034814978,0.049066221,0.138112366,4.827833266,3.051524788,0.32,31,15,4.146799122,0.483870968,0.87680704,0.894039735,Background,0.852941176,Lodoxamide
480,Group 29,Merbromin,P51649,ALDH5A1,0.838196587,5.747027952,2.752930862,3.149834697,0.987442961,0.113357377,0.082570692,0.559423451,11.63081528,13.55611958,0.3,45,15,3.98301252,0.333333333,1.272784412,0.894039735,Background,0.985294118,Merbromin
lumos,Group 12,Nimesulide,P51649,ALDH5A1,0.266534259,4.654406811,1.4048416,2.683047038,0.975200618,0.013760302,0.042160913,0.150678213,3.619320288,3.514465965,0.49,38,18,3.357991987,0.473684211,1.020895522,1.155492154,Background,0.867647059,Nimesulide
480,Group 5,Pyrantel (pamoate),P51649,ALDH5A1,0.357739505,4.623559386,2.094459168,3.562768543,0.974653322,0.02604334,0.063160267,0.269256203,4.191172857,5.395221763,0.36,35,19,4.001069219,0.542857143,0.989943432,1.132450331,Background,0.926470588,Pyrantel
lumos,Group 11,Sodium Picosulfate,P51649,ALDH5A1,0.240063662,6.441689622,3.128560908,2.810232518,0.991390339,0.009784021,0.030149403,0.221205145,3.678068699,3.093558219,0.45,48,19,4.156957814,0.395833333,1.289552239,1.219686163,Background,0.941176471,Sodium Picosulfate
lumos,Group 20,Thiabendazole,P51649,ALDH5A1,0.39236002,7.576308983,4.034854554,2.608526034,0.995228257,0.016463131,0.03559514,0.287880983,6.332718724,5.515215561,0.36,50,14,4.0688572,0.28,1.343283582,0.89871612,Background,1,Thiabendazole
480,Group 27,Triflusal,P51649,ALDH5A1,0.142900749,4.59643841,1.278897377,2.5132176,0.974102604,0.008412265,0.024375401,0.120213478,2.19027544,1.746036024,0.42,48,18,4.112150698,0.375,1.357636706,1.072847682,Background,0.816176471,Triflusal
lumos,Group 9,Valsartan,P51649,ALDH5A1,0.31552836,5.17425141,2.371067521,3.519171464,0.982667798,0.020506941,0.051155885,0.235370132,2.249486693,4.293518892,0.26,25,11,3.890739496,0.44,0.671641791,0.706134094,Background,0.816176471,Valsartan
480,Group 34,Vorinostat,P51649,ALDH5A1,0.798328816,13.08444282,9.875732802,2.922725458,0.999726352,0.029626918,0.015676226,0.752101647,12.01673766,12.87893776,0.41,50,19,4.290855654,0.38,1.414204903,1.132450331,Background,0.992647059,Vorinostat
lumos,Group 37,5-Fluorouracil,Q02252,ALDH6A1,0.280471192,6.041584794,2.405598682,2.173186268,0.989334556,0.00599291,0.021147866,0,5.149928104,4.60332495,0.27,19,12,3.709948017,0.631578947,1.156968877,1.224489796,Background,0.919117647,5-Fluorouracil
480,Group 14,Chlorzoxazone,Q02252,ALDH6A1,0.222859826,5.435429255,1.97631432,2.481442629,0.985072483,0.020580126,0.024550432,0,2.979240996,3.885054551,0.5,35,24,3.873335136,0.685714286,1.469216418,1.616766467,Background,0.904411765,Chlorzoxazone
lumos,Group 25,Evans Blue,Q02252,ALDH6A1,0.713627989,10.29743175,7.050564029,3.632254777,0.998860939,0.025880511,0.041394419,0.699104437,5.269675818,12.87096102,0.36,26,14,3.430977553,0.538461538,1.583220568,1.428571429,Background,0.970588235,Evans Blue
480,Group 42,Methylthiouracil,Q02252,ALDH6A1,0.195410863,7.695276687,4.007034891,2.206825876,0.99552927,0.01180693,0.013511732,0,3.875418854,3.324053888,0.25,19,13,3.846092675,0.684210526,0.797574627,0.875748503,Background,0.852941176,Methylthiouracil
480,Group 24,Opicapone,Q02252,ALDH6A1,0.239927774,6.472925819,3.909444734,3.785899028,0.991571631,0.033680712,0.014703687,0.178883766,2.504847832,4.233888499,0.4,28,17,4.219901357,0.607142857,1.175373134,1.145209581,Background,0.816176471,Opicapone
480,Group 15,Phenolphthalein,Q02252,ALDH6A1,0.254939994,4.693585719,1.487479768,2.769377326,0.975929207,0.027102945,0.037019743,0,4.244014738,4.540707579,0.44,31,21,3.976913691,0.677419355,1.30130597,1.414670659,Background,0.897058824,Phenolphthalein
480,Group 2,Pioglitazone,Q02252,ALDH6A1,0.185511324,6.618501231,3.325753242,2.57054294,0.992173657,0.011250967,0.017153805,0,3.451866033,3.121727555,0.29,20,16,3.947244964,0.8,0.839552239,1.077844311,Background,0.867647059,Pioglitazone
lumos,Group 33,Propylthiouracil,Q02252,ALDH6A1,0.277584842,6.225953525,2.588563874,2.161368002,0.990306007,0.013248997,0.028550866,0,5.380602331,4.548233362,0.28,19,12,3.613313161,0.631578947,1.156968877,1.224489796,Background,0.933823529,Propylthiouracil
480,Group 5,Pyrantel (pamoate),Q02252,ALDH6A1,0.197623024,5.533468833,2.858240579,3.416640507,0.985869483,0.027103719,0.025958683,0.184297086,2.021013107,3.369265935,0.48,32,22,3.912530259,0.6875,1.343283582,1.482035928,Background,0.911764706,Pyrantel
lumos,Group 36,Rosiglitazone,Q02252,ALDH6A1,0.295097916,6.4163116,3.135743144,2.854913022,0.991277459,0.032940451,0.028447593,0,3.465834023,4.882504294,0.24,17,12,3.740291617,0.705882353,1.035182679,1.224489796,Background,0.867647059,Rosiglitazone
480,Group 11,Sodium Picosulfate,Q02252,ALDH6A1,0.876029994,11.88186509,8.184461364,2.509202522,0.999524536,0.017438072,0.041872024,0.826701789,13.67272336,17.2345168,0.44,35,20,4.092355656,0.571428571,1.469216418,1.347305389,Background,1,Sodium Picosulfate
480,Group 2,Celecoxib,P00918,CA2,0.275152986,8.521837779,4.822433697,2.413299764,0.997150637,0.013513969,0.015489491,0.192538457,5.294339556,4.996290643,0.71,62,19,4.300595484,0.306451613,0.848282153,0.958520179,Target,0.977941176,Celecoxib
480,Group 34,Chlorthalidone,P00918,CA2,0.436239891,10.46950045,6.783669179,2.086359831,0.998956716,0.005459658,0.013756581,0.418608145,9.445290883,8.279808314,0.72,86,21,4.478641517,0.244186047,1.176649438,1.05941704,Background,0.985294118,Chlorthalidone
480,Group 34,Dimercaprol,P00918,CA2,0.428801618,8.754454051,5.105363057,2.378397901,0.997540585,0.020984855,0.013756581,0,8.02995433,8.128190137,0.72,86,21,4.478641517,0.244186047,1.176649438,1.05941704,Background,0.985294118,Dimercaprol
480,Group 18,Dorzolamide (hydrochloride),P00918,CA2,0.379886873,10.92324584,7.261811787,2.598790507,0.999202999,0.015780505,0.015743744,0.334967388,4.801270196,7.131135598,0.71,57,19,4.311607659,0.333333333,0.779872302,0.958520179,Target,0.992647059,Dorzolamide
lumos,Group 19,Furosemide (sodium),P00918,CA2,0.366784793,7.52497776,3.989051018,2.382017043,0.995098274,0.015018456,0.033101695,0.316420505,4.723965587,6.756362347,0.77,129,21,3.975353674,0.162790698,1.253238342,1.086206897,Target,1,Furosemide
480,Group 12,Indapamide,P00918,CA2,0.342701012,8.022101657,4.328902511,2.336459734,0.99620655,0.025273768,0.017547269,0.166333579,5.816154941,6.37315698,0.8,91,25,4.269667021,0.274725275,1.245059289,1.261210762,Background,0.985294118,Indapamide
480,Group 12,Mafenide (Acetate),P00918,CA2,0.282198733,7.971736947,4.278537802,2.387389826,0.996117614,0.016425491,0.017547269,0.076493541,4.318913913,5.139907736,0.8,91,25,4.269667021,0.274725275,1.245059289,1.261210762,Background,0.977941176,Mafenide
480,Group 10,Methazolamide,P00918,CA2,0.615323772,11.10225011,7.519732231,2.086359831,0.999278252,0.008538883,0.032476924,0.569769113,13.68274875,11.93016763,0.66,60,14,4.157947603,0.233333333,0.820918212,0.706278027,Target,0.977941176,Methazolamide
480,Group 11,Methyclothiazide,P00918,CA2,0.307157715,7.151819359,3.454415636,2.243038049,0.994089196,0.020538262,0.024483068,0.132151026,5.731594696,5.648659585,0.79,94,26,4.388336588,0.276595745,1.286105199,1.311659193,Target,1,Methyclothiazide
480,Group 2,Pioglitazone,P00918,CA2,0.206938253,5.409711363,2.555405321,3.114610984,0.984867246,0.040040288,0.015489491,0.114381377,3.946256672,3.60583448,0.71,62,19,4.300595484,0.306451613,0.848282153,0.958520179,Background,0.963235294,Pioglitazone
480,Group 36,Rosiglitazone,P00918,CA2,0.192044304,6.563368961,3.378688152,2.854913022,0.991965,0.026311225,0.015792613,0.163308141,2.576763971,3.302243416,0.72,87,21,4.554392841,0.24137931,1.190331408,1.05941704,Background,0.933823529,Rosiglitazone
480,Group 11,Topiramate,P00918,CA2,0.386034287,8.441121712,4.743717989,2.139879086,0.996979606,0.008985209,0.024483068,0.220632382,5.883272827,7.256441528,0.79,94,26,4.388336588,0.276595745,1.286105199,1.311659193,Target,1,Topiramate
480,Group 14,Benzbromarone,O75153,CLUH,0.384361415,7.355751538,3.668847268,2.607455023,0.994694643,0.013350073,0.032025375,0.192061162,5.749505976,7.654511345,0.53,123,54,4.351556683,0.43902439,1.113010255,1.126042632,Background,0.970588235,Benzbromarone
480,Group 26,Canrenoate (potassium),O75153,CLUH,0.213767444,5.428891383,1.767741525,2.369215857,0.985021174,0.03735489,0.019124875,0.172860628,3.436285853,3.952229759,0.42,135,49,4.833996058,0.362962963,1.221596622,1.021779425,Background,0.911764706,Canrenoate
480,Group 3,Capmatinib,O75153,CLUH,0.469463022,5.420901399,2.077099066,2.342422681,0.984966444,0.033112493,0.068882408,0.347282028,7.102009077,9.501411962,0.49,106,54,4.369775069,0.509433962,0.95917957,1.126042632,Background,0.955882353,Capmatinib
480,Group 14,Clebopride (malate),O75153,CLUH,0.312824404,6.124362716,2.738488442,2.499687083,0.989775814,0.024376326,0.032025375,0.089727496,5.603856516,6.101993648,0.53,123,54,4.351556683,0.43902439,1.113010255,1.126042632,Background,0.970588235,Clebopride
480,Group 22,Dicoumarol,O75153,CLUH,0.31784674,8.924682453,5.531194994,2.761927838,0.997701354,0.012895857,0.023078419,0.298137876,4.502374896,6.210989885,0.46,124,51,4.562722782,0.411290323,1.122059119,1.063484708,Background,0.963235294,Dicoumarol
lumos,Group 41,Dolasetron,O75153,CLUH,0.462179611,7.206359932,3.599012156,2.643452676,0.994256805,0.042189053,0.015552389,0.368076283,6.328500977,7.97988872,0.33,75,38,3.925428129,0.506666667,0.852488002,0.989583333,Background,0.970588235,Dolasetron
480,Group 1,Febuxostat,O75153,CLUH,0.142661553,3.753842222,1.116352493,3.171726454,0.947291908,0.007360188,0.034212195,0.106589586,1.64336162,2.409068372,0.37,94,41,4.367402517,0.436170213,0.850593203,0.854958295,Background,0.801470588,Febuxostat
480,Group 28,Glafenine (hydrochloride),O75153,CLUH,0.398413352,9.813749427,6.234080133,2.31386722,0.99852572,0.009728324,0.024371207,0.335532014,5.724322622,7.95947069,0.28,71,32,4.017381888,0.450704225,0.642469334,0.667284523,Background,0.911764706,Glafenine
lumos,Group 41,Hydroxyzine (pamoate),O75153,CLUH,0.28686715,5.871337701,3.167079911,3.378761175,0.988267327,0.035426148,0.015552389,0.165166069,3.644788463,4.682385585,0.33,75,38,3.925428129,0.506666667,0.852488002,0.989583333,Background,0.897058824,Hydroxyzine
lumos,Group 34,Idelalisib,O75153,CLUH,0.197548327,4.891027597,1.572463587,2.245512668,0.979141155,0.024237883,0.029042343,0.154218528,3.660959537,3.002361821,0.48,120,49,4.476255422,0.408333333,1.363980803,1.276041667,Background,0.860294118,Idelalisib
480,Group 10,Olsalazine (Disodium),O75153,CLUH,0.503667598,11.22828968,7.946801789,2.779596491,0.999343244,0.007073682,0.013127222,0.465688787,10.22000592,10.24372996,0.37,98,42,4.397798406,0.428571429,0.886788659,0.875810936,Background,0.963235294,Olsalazine
lumos,Group 31,9-cis-Retinoic acid,P29373,CRABP2,0.58838502,11.95833023,8.411417586,2.086359831,0.999558742,0.007841715,0.026338721,0.541198614,11.97872089,5.115750356,0.81,61,13,4.039719406,0.213114754,1.214064573,1.25267666,Background,0.992647059,9-cis-Retinoic acid
lumos,Group 10,Acitretin,P29373,CRABP2,1.075179858,11.10450481,7.544957252,2.602059991,0.999281673,0.030613424,0.056905881,0.965281723,13.69646803,9.878070545,0.66,49,7,3.553057325,0.142857143,0.975232198,0.674518201,Background,0.985294118,Acitretin
lumos,Group 17,Azilsartan,P29373,CRABP2,0.237623882,4.748331011,2.176185776,3.326335861,0.976876715,0.041477061,0.019538924,0.177533909,2.466162101,1.684249615,0.7,48,9,3.528833174,0.1875,0.9553295,0.867237687,Background,0.845588235,Azilsartan
